But	CC	6	cc	O
the	DT	3	det	O
staff	NN	6	nsubj	B-ASP
was	VBD	6	cop	O
so	RB	6	advmod	O
horrible	JJ	0	ROOT	O
to	TO	8	case	O
us	PRP	6	nmod	O
.	.	6	punct	O

To	TO	4	mark	O
be	VB	4	cop	O
completely	RB	4	advmod	O
fair	JJ	12	advcl	O
,	,	12	punct	O
the	DT	9	det	O
only	JJ	9	amod	O
redeeming	JJ	9	amod	O
factor	NN	12	nsubj	O
was	VBD	12	cop	O
the	DT	12	det	O
food	NN	0	ROOT	B-ASP
,	,	12	punct	O
which	WDT	17	nsubj	O
was	VBD	17	cop	O
above	JJ	17	amod	O
average	NN	12	acl:relcl	O
,	,	17	punct	O
but	CC	17	cc	O
could	MD	22	aux	O
n't	RB	22	neg	O
make	VB	17	conj	O
up	RP	22	compound:prt	O
for	IN	28	case	O
all	PDT	28	det:predet	O
the	DT	28	det	O
other	JJ	28	amod	O
deficiencies	NNS	22	nmod	O
of	IN	30	case	O
Teodora	NNP	28	nmod	O
.	.	12	punct	O

The	DT	2	det	O
food	NN	5	nsubj	B-ASP
is	VBZ	5	cop	O
uniformly	RB	5	advmod	O
exceptional	JJ	0	ROOT	O
,	,	5	punct	O
with	IN	11	case	O
a	DT	11	det	O
very	RB	10	advmod	O
capable	JJ	11	amod	O
kitchen	NN	5	nmod	B-ASP
which	WDT	15	nsubj	O
will	MD	15	aux	O
proudly	RB	15	advmod	O
whip	VB	11	acl:relcl	O
up	RP	15	compound:prt	O
whatever	WDT	19	dobj	O
you	PRP	19	nsubj	O
feel	VBP	15	ccomp	O
like	IN	21	case	O
eating	NN	19	nmod	O
,	,	5	punct	O
whether	IN	28	mark	O
it	PRP	28	nsubj	O
's	VBZ	28	cop	O
on	IN	28	case	O
the	DT	28	det	O
menu	NN	5	ccomp	B-ASP
or	CC	28	cc	O
not	RB	28	conj	O
.	.	5	punct	O

Where	WRB	4	advmod	O
Gabriela	NNP	3	compound	O
personaly	NNP	4	nsubj	O
greets	VBZ	0	ROOT	O
you	PRP	4	dobj	O
and	CC	4	cc	O
recommends	VBZ	4	conj	O
you	PRP	7	dobj	O
what	WP	11	nsubj	O
to	TO	11	mark	O
eat	VB	7	ccomp	O
.	.	4	punct	O

For	IN	2	case	O
those	DT	16	nmod	O
that	WDT	4	nsubj	O
go	VBP	2	acl:relcl	O
once	RB	4	advmod	O
and	CC	4	cc	O
do	VBP	9	aux	O
n't	RB	9	neg	O
enjoy	VB	4	conj	O
it	PRP	9	dobj	O
,	,	16	punct	O
all	DT	16	nsubj	O
I	PRP	15	nsubj	O
can	MD	15	aux	O
say	VB	12	acl:relcl	O
is	VBZ	0	ROOT	O
that	IN	22	mark	O
they	PRP	22	nsubj	O
just	RB	22	advmod	O
do	VBP	22	aux	O
n't	RB	22	neg	O
get	VB	16	ccomp	O
it	PRP	22	dobj	O
.	.	16	punct	O

Not	RB	2	neg	O
only	RB	5	cc:preconj	O
was	VBD	5	cop	O
the	DT	5	det	O
food	NN	0	ROOT	B-ASP
outstanding	JJ	5	amod	O
,	,	5	punct	O
but	CC	5	cc	O
the	DT	10	det	O
little	JJ	12	amod	O
'	''	12	punct	O
perks	NNS	15	nsubj	B-ASP
'	POS	12	case	O
were	VBD	15	cop	O
great	JJ	5	conj	O
.	.	5	punct	O

It	PRP	4	nsubj	O
is	VBZ	4	cop	O
very	RB	4	advmod	O
overpriced	JJ	0	ROOT	O
and	CC	4	cc	O
not	RB	8	neg	O
very	RB	8	advmod	O
tasty	JJ	4	conj	O
.	.	4	punct	O

Our	PRP$	3	nmod:poss	O
agreed	VBN	3	amod	O
favorite	NN	6	nsubj	O
is	VBZ	6	cop	O
the	DT	6	det	O
orrechiete	NN	0	ROOT	B-ASP
with	IN	8	case	I-ASP
sausage	NN	6	nmod	I-ASP
and	CC	8	cc	I-ASP
chicken	NN	8	conj	I-ASP
-LRB-	-LRB-	17	punct	O
usually	RB	17	advmod	O
the	DT	14	det	O
waiters	NNS	17	nsubj	B-ASP
are	VBP	17	cop	O
kind	RB	17	advmod	O
enough	RB	6	dep	O
to	TO	19	mark	O
split	VB	17	dep	O
the	DT	21	det	O
dish	NN	19	dobj	B-ASP
in	IN	23	case	O
half	NN	19	nmod	O
so	IN	26	mark	O
you	PRP	26	nsubj	O
get	VBP	19	advcl	O
to	TO	28	case	O
sample	NN	26	nmod	O
both	CC	30	det	O
meats	NNS	28	dep	B-ASP
-RRB-	-RRB-	17	punct	O
.	.	6	punct	O

The	DT	2	det	O
Bagels	NNS	3	nsubj	B-ASP
have	VBP	0	ROOT	O
an	DT	6	det	O
outstanding	JJ	6	amod	O
taste	NN	3	dobj	O
with	IN	10	case	O
a	DT	10	det	O
terrific	JJ	10	amod	O
texture	NN	6	nmod	O
,	,	3	punct	O
both	CC	13	cc:preconj	O
chewy	JJ	16	nsubj	O
yet	RB	16	advmod	O
not	RB	16	neg	O
gummy	VB	3	parataxis	O
.	.	3	punct	O

Nevertheless	RB	7	advmod	O
the	DT	3	det	O
food	NN	7	nsubj	B-ASP
itself	PRP	3	nmod:npmod	O
is	VBZ	7	cop	O
pretty	RB	7	advmod	O
good	JJ	0	ROOT	O
.	.	7	punct	O

They	PRP	4	nsubj	O
did	VBD	4	aux	O
not	RB	4	neg	O
have	VB	0	ROOT	O
mayonnaise	NN	4	dobj	B-ASP
,	,	4	punct	O
forgot	VBD	4	conj	O
our	PRP$	9	nmod:poss	O
toast	NN	7	dobj	B-ASP
,	,	4	punct	O
left	VBD	31	nsubj	O
out	RP	11	compound:prt	O
ingredients	NNS	11	dobj	B-ASP
-LRB-	-LRB-	16	punct	O
ie	FW	16	compound	O
cheese	NN	13	dep	B-ASP
in	IN	19	case	O
an	DT	19	det	O
omelet	NN	16	nmod	B-ASP
-RRB-	-RRB-	16	punct	O
,	,	11	punct	O
below	IN	24	case	O
hot	JJ	24	amod	O
temperatures	NNS	11	nmod	O
and	CC	24	cc	O
the	DT	27	det	O
bacon	NN	24	conj	B-ASP
was	VBD	31	cop	O
so	RB	31	advmod	O
over	IN	31	advmod	O
cooked	VBN	4	parataxis	O
it	PRP	33	nsubj	O
crumbled	VBD	31	ccomp	O
on	IN	36	case	O
the	DT	36	det	O
plate	NN	33	nmod	B-ASP
when	WRB	39	advmod	O
you	PRP	39	nsubj	O
touched	VBD	33	advcl	O
it	PRP	39	dobj	O
